Equipment,Failure Scenario,Failure Classification,ATS Alarm Description,FSCADA Alarm Description,HMI Alarm,Guidelines for the Chief Controller,Local Response
Train Overshoot or Undershoot,If  the train is repeatedly undershoot or  overshoot at stations  (bypass  station  more than three stations),Major,Incorrect Berth Window Inaccurate Station Stop – Short Creep/Jog Failure,None,None,"• Train Entering service: N/A
•Train already in service: Immediate Train Withdrawal from service.",None
Train Overshoot or Undershoot,If  the  train  is  undershooting  or overshoot  at  more  than  three stations non consecutively,Minor,Incorrect Berth Window Inaccurate Station Stop – Short Creep/Jog Failure,None,None,"• Train Entering service: N/A
•Train already in service: remain in services.",None
Foreign object on track,Foreign  object on  track (depending  on  the  type/size  of foreign object),Major,None,None,None,"• Train Entering service: N/A
•Train already in service:TO verify the obstruction on the track.","TO verify the obstruction on the track. If major failure occurred, required maintenance team to attend. De-energized certain area if required"
VATC,Single VATC  Failure  ,Minor,Loss of VATC redundancy VATC Intercom Failure,None,None,"• Train Entering service: Not allowed to enter service.
•Train already in service: Removal at Terminus station",1st attempt to reset (remote) 2nd attempt to reset (locally) Exit terminus only if qualified train driver is deployed on board
VATC,Double VATC Failure,Major,Train Non communicating,None,None,"•Train Entering service: Not allowed to enter service.
•Train already in service: Immediate Train Withdrawal from service. (If able to initialize, Train remain in service)","Qualify driver to rescues by reset VATC and initialize train, qualify train driver to onboard and Exit at 
terminus station.  "
Loss of Driving Modes,If resetting VATC does not change the situation,Major,None,None,None,"• Train Entering service: Not allowed to enter service.
• Train already in service: Exit at terminus station) (If able to initialize, train remain in service)",Qualify train driver to reset both VATC and initialize train.
All train doors at APG side not open,"All train doors at APG side not open, while the APG is open",Minor,Train door failed open,None,None,"• Train Entering service: N/A
•Train already in service: OCC to monitor Train door at next Station. if the fault persists, remote switchover VATC. if failed, Immediate Removal Train from service",Disembark passenger
Trackside ATO,Regional Train Operation,Major,RATO Offline,None,None,"i. Verify offline status by maintenance team and TO
ii. Send remote reset command to restart Trackside ATO
iii. If restoration is in time before stopping, the current operating mode will be retained.","i. Maintenance team standby at all ILC station and switch machine.
ii. TO manual driving all trains "
Wayside - Train Communication Channel,Radio network connection,Minor,Radio Offline,None,None,"i. Reset command and/or remote reset WNRA by maintenance team.
ii. If restoration is in time before stopping, the current operating mode will be retained.",Hard Reset WNRA by maintenance team.
ATS,Centralized train supervision,Minor,ATS logout,None,None,"i. Reboot ATS by Maintenance Team.
ii. If restoration is in time before stopping, the current operating mode will be retained.","i. Maintenance team standby at all ILC station or impacted stations.
ii. Operation to regulate train movement and monitor using ILC"
Switch Machine,Switch machine controller,Major,Switch out of Control and switch out of correspondence,None,None,"i. To verify failure through CFMS
ii. Deploy maintenance team to troubleshoot switch machine and related equipment
iii. Impact service delay, restore to normal peration.",Send maintenance team with appropriate protection to fix Switch Machine onsite and related equipment
750 VDC Switchgear,Breaker failed to closed,Minor,None,None,None,"i. Bypass dedicated feeder breaker and feeder isolator.
ii. Closed on-load isolator 89L21 / 89L31.","Maintenance technician to verify condition breaker at site: 
i. Reset breaker and inform OCC to normalize. 
ii. Unable to reset, remain bypass and to be attend during EP hour."
Foreign object on track,Foreign  object on  track (depending  on  the  type/size  of foreign object),Minor,None,None,None,"• Train Entering service: N/A
• Train already in service:  TO verify the obstruction on the track","TO verify the obstruction on the track. If major failure occurred, required maintenance team to attend. De-energized certain area if required"
